ISO_A3,coefficient,intercept,coefficient_GDP,intercept_GDP,
ALB,-1.06803582,98.19978083,-604.361563,15769.552,
AUT,-1.22651441,97.78722901,-4966.915077,114008.5405,
BLR,-1.14379084,95.83762775,-691.127559,19948.05944,
BEL,-1.14667225,96.84328008,-3967.117306,97722.80175,
BIH,-0.27087215,84.63423532,-174.818226,9476.153216,
BGR,-0.35258729,80.77164558,-763.655255,23110.57566,
HRV,-0.64791716,89.5577034,-733.416017,26262.00169,
CZE,-0.88132614,94.01999901,-1961.169006,53360.30904,
DNK,-1.88100826,100.742741,-7488.774884,137347.694,
EST,-2.34616341,93.91513084,-5632.159295,58660.28778,
FIN,-3.50694079,103.3276602,-7904.773115,94179.53774,
FRA,-1.2534266,98.43871641,-2915.791339,76181.84575,
DEU,-1.29614453,97.87034695,-4165.259135,97418.01242,
GRC,-0.90370323,96.75536617,-969.386265,37236.07912,
HUN,-1.12012706,94.32710571,-1377.763955,36313.96867,
ISL,-2.185274,97.82560963,-17778.61953,180292.9768,
IRL,-3.21638545,110.5800798,-17406.8633,211698.5896,
ITA,-1.51830571,110.1726886,-2225.094394,72198.39893,
KOS,-0.73917844,84.77961017,,,
LVA,-0.75233418,83.69603014,-2352.432635,48005.66825,
LTU,-2.39314335,109.1762306,-3017.458397,52934.27529,
LUX,-1.43040879,102.7020176,-16428.88939,286182.4131,
MDA,-0.93775827,87.1012411,-4866.307264,95357.973,
MNE,-0.34465727,83.8955072,-505.497764,18179.46484,
NLD,-1.06245021,95.17083971,-4752.203177,109920.5848,
NOR,-2.98382672,105.0059258,-15730.05212,199666.9347,
POL,-0.62553545,91.44143236,-1162.715207,39211.69261,
PRT,-2.64732211,104.5292335,-2216.877297,39428.35215,
SRB,-1.63774788,93.35627937,-371.032557,15503.14567,
ROU,-1.20700097,98.76254056,-1705.564513,35417.64069,
RUS,-0.44600301,86.97068149,-1547.979361,37751.90526,
SVK,-0.88120443,93.38222583,-1971.499954,54035.93976,
SVN,-1.55169971,107.4864895,-2229.559963,60417.46516,
ESP,-2.12353296,104.9238659,-3563.611851,64492.78148,
SWE,-2.24906109,96.73196409,-12973.81977,138358.3718,
CHE,-1.52709586,100.413691,-10097.68945,193249.0872,
UKR,-0.31145958,76.99482278,-225.034164,7635.116807,
GBR,-1.50588722,97.76657141,-5908.199605,107758.6483,
